,Weight,Category,Screen_size,Screen_type,Screen_resolution,CPU_Brand,CPU_series,CPU_model,RAM,Storage_amount,Storage_type,Storage_info,GPU_Brand,GPU_Model,OS,original_price,after_discount,persian_info,full_info,discount_percent
2924,2.0,نوت بوک (لپ تاپ),14.0,,768 * 1366,AMD,,,4.0,1024.0,HDD,,AMD Radeon,integrated graphics,Windows Y,,,لپ تاپ لنوو 14 اینچی مدل E41-45 پردازنده A6-7350 رم 4GB حافظه 1TB گرافیک AMD,E41-45 A6-7350 4GB 1TB 512MB AMD HD Laptop,0.0
2925,1.6,نوت بوک (لپ تاپ),14.0,,1080 * 1920,INTEL,Core i3,i3-1005 G1,8.0,1311744.0,Hybrid,,Intel,uhd,Dos,,,لپ تاپ لنوو 14 اینچی مدل V14 پردازنده Core i3 1005G1 رم 8GB حافظه 1TB 128GB SSD گرافیک Intel,V14 Core i3 1005G1 8GB 1TB 128GB Intel FHD Laptop,0.0
2926,1.85,نوت بوک (لپ تاپ),15.6,,768 * 1366,INTEL,Core i3,i3-1005 G1,4.0,1024.0,HDD,,Intel,uhd,Windows X,,,لپ تاپ لنوو 15.6 اینچی مدل V15 پردازنده Core i3 1005G1 رم 4GB حافظه 1TB گرافیک Intel,V15 Core i3 1005G1 4GB 1TB Intel HD Laptop,0.0
2927,1.6,نوت بوک (لپ تاپ),14.0,,1080 * 1920,INTEL,Core i3,i3-1005 G1,8.0,1024.0,HDD,,Intel,uhd,Dos,,,لپ تاپ لنوو 14 اینچی مدل V14 پردازنده Core i3 1005G1 رم 8GB حافظه 1TB گرافیک Intel,V14 Core i3 1005G1 8GB 1TB Intel FHD Laptop,0.0
2928,1.85,نوت بوک (لپ تاپ),15.6,,768 * 1366,INTEL,Core i3,i3-1005 G1,8.0,1024.0,HDD,,Intel,uhd,Windows X,,,لپ تاپ لنوو 15.6 اینچی مدل V15 پردازنده Core i3 1005G1 رم 8GB حافظه 1TB گرافیک Intel,V15 Core i3 1005G1 8GB 1TB Intel HD Laptop,0.0
2929,2.1,نوت بوک (لپ تاپ),15.6,,768 * 1366,INTEL,Core i5,i5 1035 G1,4.0,1024.0,HDD,,Nvidia Gforce,geforce mx330,Dos,,,لپ تاپ لنوو 15.6 اینچی مدل V15 پردازنده Core i5 1035G1 رم 4GB حافظه 1TB گرافیک 2GB,V15 Core i5 1035G1 4GB 1TB 2GB MX330 HD Laptop,0.0
2930,1.6,نوت بوک (لپ تاپ),14.0,,1080 * 1920,INTEL,Core i3,i3-1005 G1,4.0,1024.0,HDD,,Intel,uhd,Dos,,,لپ تاپ لنوو 14 اینچی مدل V14 پردازنده Core i3 1005G1 رم 4GB حافظه 1TB گرافیک Intel,V14 Core i3 1005G1 4GB 1TB Intel FHD Laptop,0.0
2931,2.1,نوت بوک (لپ تاپ),15.6,,1080 * 1920,INTEL,Core i5,i5 1035 G1,12.0,1024.0,HDD,,Nvidia Gforce,geforce mx330,Dos,,,لپ تاپ لنوو 15.6 اینچی مدل V15 پردازنده Core i5 1035G1 رم 12GB حافظه 1TB گرافیک 2GB,V15 Core i5 1035G1 12GB 1TB 2GB MX330 FullHD Laptop,0.0
2932,2.2,نوت بوک (لپ تاپ),15.6,,768 * 1366,INTEL,Core i3,I3-10110U,8.0,1311744.0,Hybrid,,Intel,uhd,Dos,,,لپ تاپ لنوو 15.6 اینچی مدل Ideapad L3 پردازنده Core i3 10110U رم 8GB حافظه 1TB 128GB SSD گرافیک Intel,Ideapad L3 Core i3 10110U 8GB 1TB 128GB SSD Intel HD Laptop,0.0
2933,2.01,نوت بوک (لپ تاپ),15.6,HD or Full HD,768 * 1366,INTEL,Celeron,,2.0,512000.0,SATA,,Intel,4000 hd graphics,Dos,,,لپ تاپ لنوو مدل جی 5070 با پردازنده سلرون,G5070 Celeron 2GB 500GB Laptop,0.0
