url,price_after_discount,original_price
/product/134491/hp-envy-16-h1023dx-a-core-i9-13900h-16gb-1tb-ssd-8gb-qhd-touch-laptop/,"97,600,000 تومان","99,100,000 تومان"
/product/134492/hp-envy-16-h1023dx-b-core-i9-13900h-32gb-1tb-ssd-8gb-qhd-touch-laptop/,"102,880,000 تومان","103,880,000 تومان"
/product/133879/hp-probook-450-g9-7a-core-i7-1255u-8gb-512gb-ssd-2gb-mx570-hd-laptop/,"35,150,000 تومان","35,500,000 تومان"
/product/133880/hp-probook-450-g9-7b-core-i7-1255u-8gb-1tb-ssd-2gb-mx570-hd-laptop/,"36,000,000 تومان",
/product/133881/hp-probook-450-g9-7c-core-i7-1255u-16gb-1tb-ssd-2gb-mx570-hd-laptop/,"37,750,000 تومان","38,000,000 تومان"
/product/127999/hp-spectre-x360-16t-f1023dx-core-i7-1260p-16gb-1tb-4gb-uhd-touch-laptop/,"84,600,000 تومان",
/product/132630/hp-15s-eq1015ne-ryzen-3-3250u-12gb-512gb-ssd-amd-hd-laptop/,"16,300,000 تومان",
/product/132631/hp-15s-eq1015ne-ryzen-3-3250u-16gb-512gb-ssd-amd-hd-laptop/,"16,800,000 تومان","17,500,000 تومان"
/product/132632/hp-15s-eq1015ne-ryzen-3-3250u-8gb-512gb-ssd-amd-hd-laptop/,"15,700,000 تومان","17,000,000 تومان"
/product/132255/hp-g8-255-ryzen-3-3250u-8gb-1tb-256gb-ssd-vega3-hd-laptop/,"20,800,000 تومان","21,000,000 تومان"
/product/130578/hp-pavilion-x360-14t-ek000-5a-core-i5-1235u-8gb-512gb-ssd-intel-full-hd-touch-la/,"42,650,000 تومان","43,000,000 تومان"
/product/130579/hp-pavilion-x360-14t-ek000-5b-core-i5-1235u-8gb-1tb-ssd-intel-full-hd-touch-lapt/,"44,250,000 تومان","44,500,000 تومان"
/product/130587/hp-pavilion-x360-15t-er100-7a-core-i7-1255u-16gb-1tb-ssd-intel-full-hd-touch-lap/,"54,700,000 تومان",
/product/130588/hp-pavilion-x360-15t-er100-7b-core-i7-1255u-32gb-1tb-ssd-intel-full-hd-touch-lap/,"56,700,000 تومان",
/product/130589/hp-pavilion-x360-15t-er100-5a-core-i5-1235u-8gb-512gb-ssd-intel-full-hd-touch-la/,"42,720,000 تومان","43,000,000 تومان"
/product/130591/hp-pavilion-x360-15t-er100-5b-core-i5-1235u-8gb-1tb-ssd-intel-full-hd-touch-lapt/,"44,200,000 تومان","44,700,000 تومان"
/product/127250/asus-vivobook-r565ep-core-i5-1135g7-12gb-1tb-512gb-ssd-2gb-full-hd-laptop/,"29,464,000 تومان","29,599,000 تومان"
/product/127251/asus-vivobook-r565ep-core-i5-1135g7-12gb-1tb-256gb-ssd-2gb-full-hd-laptop/,"28,523,000 تومان","28,633,000 تومان"
/product/124503/asus-vivobook-k513eq-oled-core-i7-1165g7-8gb-512gb-ssd-2gb-mx350-full-hd-laptop/,"33,699,000 تومان","33,799,000 تومان"
/product/126630/asus-tuf-gaming-fx517ze-core-i7-12650h-16gb-1tb-ssd-4gb-rtx-3050ti-full-hd-lapto/,"57,499,000 تومان","57,699,000 تومان"
/product/127175/asus-tuf-gaming-fx517zr-core-i7-12650h-32gb-1tb-ssd-8gb-rtx-3070-144hz-full-hd-l/,"69,499,000 تومان","69,599,000 تومان"
/product/127176/asus-vivobook-r565jp-core-i7-1065g7-16gb-1tb-hdd-2gb-mx330-full-hd-laptop/,"30,999,000 تومان",
/product/128350/asus-r1502za-core-i3-1215u-4gb-256gb-ssd-intel-full-hd-laptop/,"16,474,000 تومان","16,599,000 تومان"
/product/128314/asus-zenbook-pro-ux8402ze-core-i7-12700h-16gb-1tb-ssd-4gb-3050ti-oled-laptop/,"106,999,000 تومان",
/product/128333/asus-vivobook-r565jp-core-i7-1065g7-16gb-512gb-ssd-2gb-mx330-full-hd-laptop/,"30,683,000 تومان","30,833,000 تومان"
